COMPONENT NAME,COMPONENT TYPE,EVR_ID,ENUM_NAME,INDETIFIER,VALUE,COMMENT
prmDb,PrmDb,147,PrmReadError,PRM_READ_PARAMETER_VALUE,9,
prmDb,PrmDb,147,PrmReadError,PRM_READ_PARAMETER_VALUE_SIZE,10,
cmdSeq,CmdSequencer,544,FileReadStage,SEQ_READ_HEADER,0,
cmdSeq,CmdSequencer,544,FileReadStage,SEQ_READ_HEADER_SIZE,1,
cmdSeq,CmdSequencer,544,FileReadStage,SEQ_DESER_SIZE,2,
cmdSeq,CmdSequencer,544,FileReadStage,SEQ_DESER_NUM_RECORDS,3,
cmdSeq,CmdSequencer,544,FileReadStage,SEQ_DESER_TIME_BASE,4,
cmdSeq,CmdSequencer,544,FileReadStage,SEQ_DESER_TIME_CONTEXT,5,
cmdSeq,CmdSequencer,544,FileReadStage,SEQ_READ_SEQ_CRC,6,
cmdSeq,CmdSequencer,544,FileReadStage,SEQ_READ_SEQ_DATA,7,
cmdSeq,CmdSequencer,544,FileReadStage,SEQ_READ_SEQ_DATA_SIZE,8,
cmdSeq,CmdSequencer,558,SeqMode,SEQ_STEP_MODE,0,
cmdSeq,CmdSequencer,558,SeqMode,SEQ_AUTO_MODE,1,
health,Health,364,HealthIsEnabled,HEALTH_CHECK_DISABLED,0,
health,Health,364,HealthIsEnabled,HEALTH_CHECK_ENABLED,1,
health,Health,365,HealthPingIsEnabled,HEALTH_PING_DISABLED,0,
health,Health,365,HealthPingIsEnabled,HEALTH_PING_ENABLED,1,
eventLogger,ActiveLogger,421,LogWriteError,LOG_WRITE_OPEN,0,
eventLogger,ActiveLogger,421,LogWriteError,LOG_WRITE_FATAL_DELIMETER,1,
eventLogger,ActiveLogger,421,LogWriteError,LOG_WRITE_FATAL_RECORD,2,
eventLogger,ActiveLogger,421,LogWriteError,LOG_WRITE_WARNING_HI_DELIMETER,3,
eventLogger,ActiveLogger,421,LogWriteError,LOG_WRITE_WARNING_HI_RECORD,4,
eventLogger,ActiveLogger,421,LogWriteError,LOG_WRITE_WARNING_LO_DELIMETER,5,
eventLogger,ActiveLogger,421,LogWriteError,LOG_WRITE_WARNING_LO_RECORD,6,
eventLogger,ActiveLogger,421,LogWriteError,LOG_WRITE_COMMAND_DELIMETER,7,
eventLogger,ActiveLogger,421,LogWriteError,LOG_WRITE_COMMAND_RECORD,8,
eventLogger,ActiveLogger,421,LogWriteError,LOG_WRITE_ACTIVITY_HI_DELIMETER,9,
eventLogger,ActiveLogger,421,LogWriteError,LOG_WRITE_ACTIVITY_HI_RECORD,10,
eventLogger,ActiveLogger,421,LogWriteError,LOG_WRITE_ACTIVITY_LO_DELIMETER,11,
eventLogger,ActiveLogger,421,LogWriteError,LOG_WRITE_ACTIVITY_LO_RECORD,12,
eventLogger,ActiveLogger,421,LogWriteError,LOG_WRITE_DIAGNOSTIC_DELIMETER,13,
eventLogger,ActiveLogger,421,LogWriteError,LOG_WRITE_DIAGNOSTIC_RECORD,14,
eventLogger,ActiveLogger,423,EventFilterState,EVENT_FILTER_WARNING_HI,0,
eventLogger,ActiveLogger,423,EventFilterState,EVENT_FILTER_WARNING_LO,1,
eventLogger,ActiveLogger,423,EventFilterState,EVENT_FILTER_COMMAND,2,
eventLogger,ActiveLogger,423,EventFilterState,EVENT_FILTER_ACTIVITY_HI,3,
eventLogger,ActiveLogger,423,EventFilterState,EVENT_FILTER_ACTIVITY_LO,4,
eventLogger,ActiveLogger,423,EventFilterState,EVENT_FILTER_DIAGNOSTIC,5,
